phylum	order	color_phylum	color_order
Halobacteriota	Methanomicrobiales	#f2f2f2	#f2f2f2
Methanobacteriota	Methanobacteriales	#bfbfbf	#bfbfbf
Patescibacteria	Saccharimonadales	#dacce3	#dacce3
Campylobacterota	Campylobacterales	#cdadca	#cdadca
Synergistota	Synergistales	#c08eb3	#c08eb3
Thermoplasmatota	Methanomassiliicoccales	#777dae	#777dae
Verrucomicrobiota	Victivallales	#1c7ebc	#0066ae
Verrucomicrobiota	Opitutales	#1c7ebc	#1c7ebc
Verrucomicrobiota	Verrucomicrobiales	#1c7ebc	#4a96cc
Desulfobacterota	Desulfovibrionales	#68b0dc	#68b0dc
Pseudomonadota	Enterobacterales	#60dfd2	#60cfde
Pseudomonadota	RF32	#60dfd2	#60dfd2
Pseudomonadota	Burkholderiales	#60dfd2	#5cdfb5
Pseudomonadota	Rs-D84	#60dfd2	#40df91
Bacteroidota	Bacteroidales	#4dc87c	#4dc87c
Bacteroidota	Flavobacteriales	#4dc87c	#88c88b
Cyanobacteriota	Gastranaerophilales	#92e09f	#92e09f
Actinomycetota	Coriobacteriales	#c9e0af	#c9e0af
Actinomycetota	Actinomycetales	#c9e0af	#d8e093
Deferribacterota	Deferribacterales	#dff77e	#dff77e
Bacillota	RF39	#fde671	#ecf76d
Bacillota	Lactobacillales	#fde671	#feef68
Bacillota	ML615J-28	#fde671	#fde671
Bacillota	Erysipelotrichales	#fde671	#ffd366
Bacillota	Acholeplasmatales	#fde671	#fdc151
Bacillota	Bacillales	#fde671	#fc953d
Bacillota	RFN20	#fde671	#fd8035
Bacillota_A	Oscillospirales	#f4814d	#fd8854
Bacillota_A	TANB77	#f4814d	#f4814d
Bacillota_A	Christensenellales	#c28c5c	#c26340
Bacillota_A	Lachnospirales	#f4814d	#c28c5c
Bacillota_A	Clostridiales	#f4814d	#ce9360
Bacillota_A	Monoglobales_A	#f4814d	#ce734f
Bacillota_A	Peptostreptococcales	#f4814d	#c65631
Bacillota_A	Monoglobales	#f4814d	#b93725
Bacillota_A	UBA1212	#c28c5c	#b10f19
Bacillota_B	UBA4068	#8b1222	#8b1222
Bacillota_C	Selenomonadales	#64121f	#7a1a12
Bacillota_C	Acidaminococcales	#64121f	#64121f
Bacillota_C	Veillonellales	#64121f	#5a0c37
